gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Ost4,1.84501887062394,0.102543013132447,0.000494358196539,0.9444216995472954
Rpl31-ps8,1.84330393679471,0.661857909048404,0.0216835171918565,0.6409393503497326
Slc25a10,1.82263839206449,0.49898565617581,0.0215294863102811,0.7262289336445874
Selenoh,1.81829941250028,0.0663906967672008,0.0059862312553083,0.9634874782938475
Rap2a,1.7930756789035,0.861717606050182,2.73269007455649e-07,0.5194192770618925
Nt5dc2,1.79219287108393,-0.594058084528798,0.0044920388964848,0.6685300482366567
Gngt2,1.76593808640149,0.517760048902096,0.0019175908649377,0.7068073604113989
Fundc2,1.76444938216672,0.51563551268949,0.0225447138397432,0.7077640662854853
Ccne2,1.74936755839128,-0.861563332460354,0.0068626600907266,0.5075001086377477
Mvb12a,1.74849741584065,0.149369852499134,5.34879536667751e-13,0.9145724488089567
Impa2,1.73073382322124,-0.210413068640857,0.010926693714969,0.8784255176516765
Rps2,1.72225831175103,0.586496094173004,0.0051856271717904,0.6594610168687705
Fnip2,1.72008372071958,0.79162607312521,0.0001236810585441,0.5397746844589395
Blvra,1.7147875919539,0.327805113894407,0.0221138222711746,0.808836315685669
Dse,1.71169832271068,0.657321111386618,0.0004532608104917,0.6159830837798153
Amdhd2,1.70971903518385,0.765026853707897,0.0174585813989987,0.5525423546415438
Hells,1.70732515338012,-0.275632996905277,3.7645224591718e-05,0.8385585801511881
Sem1,1.70682765388175,0.257990423338969,0.0025532521412418,0.8488479942586853
Rab5c,1.69656833865875,0.812505145166526,0.0010806956076947,0.521089055682328
Rapsn,1.69335499784357,0.843337601958163,0.0004223442858578,0.501972354862315
Gpr137b-ps,1.68234250820257,0.529208736946903,0.0081131769068548,0.6854334153915458
Tmsb10,1.67904451074867,0.341300738693709,0.0244132715704718,0.7967291894236167
Bach2os,1.67761824952239,0.492993417035607,0.0422775713057037,0.7061349224259095
Incenp,1.67105563380074,0.453018567258838,0.0053003774693061,0.7289027617659456
Nusap1,1.66356134968234,0.168157573564833,0.0057312645395809,0.8989171192292109
Srgn,1.66164832700894,0.598082353920096,0.0001083830878308,0.6400668274997288
Hmgn2,1.64972146984572,0.349588008062996,0.0229987071443351,0.7880927087069498
Glipr1,1.63950434831417,0.795542267135476,0.0118526774428278,0.5147666012880678
