gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Gpr3,-4.20027213563388,-3.31296465205677,-2.34873872353395,0.380963201357064,0.0352804969732926,0.0453941753979474,0.172511025998818,0.90653894544922,D1,down,acute_D1
Slc16a4,-2.38732274628538,-0.502316421887623,-4.91686456594325,-0.7911086655703,0.0257987044415497,0.74325093089648,8.9704868724555e-07,0.531491642055259,D7,down,other
Ly9,1.71434253881881,2.92375850130266,2.07796054683913,3.76908709008346,0.0042229937263615,5.25918616985314e-08,0.0003955692520966,7.69095184114986e-13,D14,up,sustained_up
Lum,1.84239329213084,-0.92192182950247,4.3651997724475,-1.48745429103963,0.360934010964175,0.691924901680276,0.0073508721452726,0.49527775145439,D7,up,D7_peak_resolve
Fmo2,-2.08807537903953,-1.245939201308,-5.86444397164034,2.04877243551974,0.310714909322585,0.579555280123787,0.0010635204233512,0.294302840364708,D7,down,other
Msi2,-0.519489224762985,-1.71680148041823,-1.35362587847316,-0.163247704553769,0.341889700420697,1.46266865263652e-05,0.0016253341031459,0.822081772241551,D4,down,other
Gm42680,-0.782230267774397,-0.0702037553317067,-4.65161886094322,6.72923388112961,0.897058483038847,0.990928524043575,0.121588920672566,0.0240145254460085,D14,up,late_D14
Ptgs2os2,1.90283240925562,2.35075467270611,-1.69681659303284,6.76827125416165,0.480425764906084,0.272547535213683,0.38165011466446,0.0010724508769593,D14,up,late_D14
Abcg4,-4.36232065188559,-3.48208146199272,-3.60782714110727,-3.58129672487433,0.0400214786778577,0.062623851508215,0.0561636585248702,0.0680478671199271,D1,down,acute_D1
Gm36283,2.69536605869478,-1.13614556510646,-6.70896221579415,4.61356904179079,0.244848751106589,0.698067597134081,0.0029156453375315,0.0591275708843755,D7,down,other
Tjp3,0.311120941943046,2.1525691050576,2.52847386113183,5.83537332763554,0.902745476693155,0.0594519088397202,0.0229527254133116,0.0003536147825129,D14,up,late_D14
1700109H08Rik,-1.13996932727788,-0.883986288713517,-2.14427623851911,0.667782511001095,0.376204928334282,0.50920102770199,0.0418323830688993,0.632134543408734,D7,down,other
Snrpa1,1.7930658783972,0.325226741799519,0.354846057235136,0.195443903047063,0.0070464379104465,0.752574461459862,0.647879334288194,0.874221880207052,D1,up,acute_D1
Gspt2,-6.4167246438911,-1.7530480852622,0.198135543773208,-0.0140094868352432,0.0001942129046067,0.227897607686748,0.910236060095787,1.0,D1,down,acute_D1
Zfp960,-0.219857529488962,-0.819942484126211,-1.82373938760833,-0.278885276186609,0.888994894421621,0.337859141167186,0.0119957660475474,0.8120766945777,D7,down,other
Npm1,2.26167486004882,1.5070423464361,1.38552462142746,1.26653128065899,2.5943676161641397e-12,1.04123745373061e-05,0.0001063766903898,0.0004108208418007,D1,up,sustained_up
Frmd3,1.92394113560506,-2.51197043391218,-7.04901413659835,1.0949757356254,0.453761097731031,0.247420658789024,0.0015209797993419,0.698781354472404,D7,down,other
Vmn2r44,1.98413521948383,0.129780578039144,-6.95779469139847,1.06658621801745,0.643237025996958,0.983700060971758,0.0228661650816911,0.813677518059629,D7,down,other
Gm16046,-4.27790147038302,1.95681533120806,-5.6778129441003,-1.94624276510704,0.0559504407225463,1.0,0.0052732109954123,0.469971176172641,D7,down,other
Pemt,2.85306496685439,0.627010862959524,1.19677922422278,0.998223004036706,0.0002996387174645,0.538010811962786,0.161552495703928,0.269322124230013,D1,up,acute_D1
Dpysl5,-4.7117899221109,-4.14174268756729,-2.99165372775639,-1.22729519164811,0.0573214340200915,0.0373541447674204,0.141219591077182,0.650990498052546,D1,down,other
Hmgb1-ps6,-0.782621616592001,-2.14883701306204,-4.55648528854918,-0.487595009086303,1.0,1.0,0.0282143702431193,0.879509450369846,D7,down,other
Ttc30a2,-3.28640079230035,-1.1473061569409,-1.53163148598759,0.570955592044297,0.0466458239498359,0.575076316153267,0.341187613333813,0.821075037776256,D1,down,acute_D1
