Gene_Set,Gene,D1_log2FC,D1_padj,D4_log2FC,D4_padj,D7_log2FC,D7_padj,D14_log2FC,D14_padj,peak_timepoint,peak_log2FC
Autophagy/Lysosome,Lamp2,-0.228590867262406,0.793564291949251,0.888693716750267,0.0722942427555003,0.765504542097193,0.117569763426484,0.776820218737274,0.13367185398389,D4,0.888693716750267
Autophagy/Lysosome,Ctsd,-0.611786844337461,0.609777659865488,2.1129898660264,0.0065360305808289,1.75159302727443,0.0313482572850154,1.75850980192138,0.033146509333438,D4,2.1129898660264
Autophagy/Lysosome,Ctsl,0.766333466420287,0.0323517814414339,2.20434450569806,3.4750452298698e-14,0.843311339371144,0.0149644224300183,1.07016832058369,0.001231209047316,D4,2.20434450569806
Autophagy/Lysosome,Ctsb,1.64770610161259,0.0001855943297365,2.72772169173712,1.17017670231636e-11,2.26097695593417,9.46042409680059e-08,2.23900804117179,8.95698149896139e-08,D4,2.72772169173712
Autophagy/Lysosome,Grn,-0.0991740212231447,0.965654289586449,1.34893439452828,0.0790696779148404,1.24370735578846,0.0996228079821804,0.739584887486627,0.411439121265142,D4,1.34893439452828
Autophagy/Lysosome,Hdac3,0.328157540996115,0.557913832267138,0.0856051708207992,0.907180862887276,0.266395756222658,0.540735942405692,1.12426312532416,0.0035132763968147,D14,1.12426312532416
IL-6 Pathway,Il6,0.0957402937030391,0.949890950765427,-0.648697563165,0.345951704228547,-2.20169169086937,4.25742869205108e-05,0.497247847902521,0.480910386962276,D7,-2.20169169086937
IL-6 Pathway,Il6ra,-1.71223059388177,0.0454709404082642,-1.2191210134797,0.171917017682477,-0.797331009307007,0.356842445528945,-0.343862931717331,0.793752751990419,D1,-1.71223059388177
IL-6 Pathway,Il6st,-0.984269725939983,0.192216084320365,-1.1059764187216,0.111870068461238,-1.90901786928192,0.0027210295094709,-0.458690546379322,0.609671021322374,D7,-1.90901786928192
IL-6 Pathway,Jak1,-0.0912534767569886,0.907802980343233,0.031010065065898,0.966350162059593,-0.0119858086873046,0.986587987486004,0.446209780275026,0.246982393430308,D14,0.446209780275026
IL-6 Pathway,Jak2,0.185937413777216,0.925785267984914,0.496775618065196,0.67077885564605,0.305179303781012,0.75440401670946,0.439824799128906,0.714665759193882,D4,0.496775618065196
