gene,TBI_mean,Sham_mean,log2FC
Zbtb46,0.018288337,0.034117155,-0.64113235
Gm8775,0.013187118,0.01177851,0.09041824
Gm16685,0.003906596,0.0036171803,0.030341314
Mynn,0.02562902,0.03444956,-0.3191164
Ccrn4l,0.018366702,0.012448896,0.33755398
Ufm1,0.08667016,0.06291203,0.4069137
S100a11,0.013393195,0.017139865,-0.21432465
Rfx5,0.006856616,0.0,0.75331503
Sema6c,0.0059969453,0.002515011,0.3541369
Aph1a,0.03560448,0.018812682,0.66247165
Gm5546,0.0011416547,0.0,0.15596345
Znhit6,0.04264812,0.04928006,-0.17116486
Zzz3,0.07461496,0.07139095,0.056044273
AI838599,0.0,0.0,0.0
Vma21-ps,0.0046327244,0.0022884505,0.25189537
Yipf1,0.10834476,0.10405076,0.05331972
Gpx7,0.004507695,0.0037742811,0.074841164
Elovl1,0.14052212,0.11064579,0.31919798
Tie1,0.0037055095,0.0071111615,-0.3201818
Mycbp,0.028623933,0.019407703,0.39330104
Tinagl1,0.007406671,0.0042079464,0.29294223
Tcea3,0.0,0.0020730896,-0.27179495
Gm13056,0.002178762,0.0,0.28436747
Plekhm2,0.088614546,0.08751682,0.016149424
C230088H06Rik,0.1351401,0.11477789,0.21808396
Gm17029,0.002486451,0.001239567,0.151777
Errfi1,0.14628567,0.12013575,0.26416823
Icmt,0.012345401,0.0072555114,0.3729207
Sri,0.21095362,0.15483305,0.42273802
Dbf4,0.021658039,0.028431403,-0.27971378
Sod3,0.010884681,0.006494029,0.3405013
Rest,0.060943622,0.05861741,0.048098348
Trpv4,0.009177992,0.0074601094,0.13538912
Tbx3,0.0040278547,0.006296743,-0.21628924
Gm10064,0.016362762,0.019933872,-0.18327735
Zfp664,0.043713674,0.03742866,0.17953025
Limk1,0.042511236,0.054550357,-0.29779887
Ap5z1,0.029875727,0.024060227,0.22742292
Wasf3,0.010534226,0.009376297,0.08373771
Usp12,0.061440818,0.044825442,0.38190305
Rasl11a,0.0042312974,0.00092919107,0.38088062
Gm4876,0.002216783,0.008260376,-0.57985204
Naa38,0.08918198,0.07068865,0.29771224
Gm13861,0.0,0.0,0.0
5430402O13Rik,0.0022775226,0.006848173,-0.4565727
Ggcx,0.03281807,0.022729786,0.3876156
Vmn1r45,0.0,0.0,0.0
Hdac11,0.03687419,0.03826805,-0.042274885
Tatdn2,0.028411962,0.03489928,-0.22513665
Mansc1,0.0071061356,0.006625735,0.041095622
Emp1,0.0010661795,0.0023393128,-0.15710475
Ifltd1,0.007406881,0.01300746,-0.402444
Fiz1,0.032234814,0.038887568,-0.21103479
Six5,0.0017511842,0.0032640365,-0.17471364
Pak4,0.021392914,0.013756424,0.40212122
Pop4,0.025765706,0.024288094,0.060869228
Nucb1,0.25389078,0.17758831,0.49237093
Aldh1a3,0.0,0.0,0.0
Fam154b,0.0014255312,0.003631372,-0.25466964
P2ry2,0.0027059186,0.0011660382,0.18638329
Olfr558,0.0018523729,0.0013622853,0.060922813
Trim5,0.04100805,0.050998244,-0.25804272
Prkcdbp,0.012949746,0.013165323,-0.013488599
Scube2,0.0017072455,0.0,0.22740163
Nfatc2ip,0.032606058,0.020149034,0.4989468
Gpr123,0.0073539363,0.0037749538,0.33321556
Muc2,0.007399168,0.0,0.7990183
Ano1,0.009567246,0.009098019,0.0350177
Gm6483,0.09630462,0.08378508,0.1807739
Plat,0.015075515,0.0040094075,0.8398834
Abcc12,0.018048618,0.0,1.4879297
Coq9,0.08041761,0.057024956,0.4319055
Cdh5,0.011204139,0.009738115,0.10336178
Capn9,0.008835764,0.001430395,0.72059935
Casp12,0.002494434,0.010065086,-0.68340176
Adamts15,0.004410684,0.0,0.5271388
Prdm10,0.049716126,0.037928436,0.3172387
Mcam,0.006474202,0.002634148,0.38288018
Smad6,0.009173983,0.006656763,0.20304191
4930429F24Rik,0.0036257235,0.0,0.4463328
Plscr1,0.0,0.006633465,-0.73408884
Acpl2,0.005889635,0.007627814,-0.14976747
Pik3r4,0.041540023,0.03304347,0.2598988
Dag1,0.030696305,0.045793816,-0.45520747
Slc22a14,0.015168966,0.017252486,-0.11474182
Xirp1,0.00091448653,0.0010707497,-0.020508775
Phf6,0.034995243,0.023063198,0.44454622
1110012L19Rik,0.019922845,0.014200511,0.30620983
Gm16462,0.0028640875,0.0062873373,-0.34040177
Tbc1d8b,0.019484784,0.022564052,-0.14330958
Pir,0.012856473,0.011052675,0.11859942
Mtrf1l,0.02959011,0.027996471,0.059274644
A230046K03Rik,0.100676075,0.14780352,-0.5117861
Srgap1,0.018528318,0.018201362,0.016629787
Gm12023,0.0,0.005855359,-0.66497064
Xpo1,0.122305445,0.08960136,0.40963516
Ccnjl,0.0028053178,0.0051083565,-0.23860368
Nipal4,0.0019125326,0.0009345958,0.123580255
Pmp22,0.5333231,0.5229102,0.027917972
Stx8,0.12935974,0.12062241,0.09341128
Trp53i13,0.0389539,0.042445835,-0.09940448
Lig3,0.010642619,0.012290171,-0.11078153
Mrps23,0.03137542,0.04185505,-0.3257105
Ccr7,0.001063437,0.0017557163,-0.08756279
Hid1,0.011588485,0.0026946212,0.7660447
Itgb4,0.0068867807,0.00914824,-0.1813175
Foxk2,0.048406366,0.055871293,-0.17352416
Hs1bp3,0.033046156,0.05378124,-0.5672477
Gm5435,0.00882707,0.0052094418,0.30784115
Zfyve21,0.03435675,0.043120205,-0.26010704
2810429I04Rik,0.005558535,0.005691655,-0.01229127
Sema4d,0.25009593,0.21896243,0.1839329
2410141K09Rik,0.0,0.0,0.0
Skiv2l2,0.06373712,0.03889702,0.59264445
Dnah12,0.011414099,0.014729146,-0.20765154
Gm20687,0.0,0.0011486796,-0.15687282
Nufip1,0.0586117,0.040589042,0.43962964
Zic5,0.001520367,0.0024965396,-0.11734192
Ppp1r16a,0.030099545,0.016893683,0.5763186
Pim3,0.08482822,0.06447774,0.3485072
Nde1,0.057172,0.043917146,0.3171158
Pigx,0.08122713,0.077318184,0.063180774
