gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Rps20,0.22858313,0.18436013,-0.31004095,2.4819841941504247e-21,8788,9002,8.621359630630686e-21,False
Nol9,0.09392732,0.057856094,-0.6981195,2.4853610475849737e-21,8788,9002,8.629526410785135e-21,True
Atxn10,0.34776035,0.288409,-0.26989198,2.5052773433181935e-21,8788,9002,8.69509005335642e-21,False
Ralbp1,0.29893073,0.23910084,-0.32207125,2.580358752754798e-21,8788,9002,8.951982757495306e-21,False
Smndc1,0.20439787,0.15319781,-0.41574878,2.6166399535666887e-21,8788,9002,9.074110440790005e-21,False
Cbx4,0.2595943,0.19978204,-0.37766537,2.6403722923841526e-21,8788,9002,9.152637863958745e-21,False
Mtfp1,0.093707144,0.05673345,-0.72295743,2.6489130174517707e-21,8788,9002,9.178461785758544e-21,True
Ngdn,0.16191994,0.117381796,-0.46373418,2.6610376127358338e-21,8788,9002,9.216677412905133e-21,False
Slc27a5,0.59221524,0.5096689,-0.21652192,2.796708865338217e-21,8788,9002,9.682597400860255e-21,False
Syap1,0.33053395,0.26707485,-0.30745068,2.833378870243701e-21,8788,9002,9.80551889566444e-21,False
Zfp654,0.35547593,0.29276848,-0.27990472,2.8832416705573673e-21,8788,9002,9.97397704539438e-21,False
Foxa3,0.23680204,0.18142538,-0.38411942,2.9170664814242595e-21,8788,9002,1.0086839419737894e-20,False
Zfp395,0.42209703,0.5575209,0.40136835,2.922415665077168e-21,8788,9002,1.010118446602063e-20,False
Zfp143,0.15616132,0.112437494,-0.47355497,3.054048568495716e-21,8788,9002,1.0551831871357068e-20,False
Epb41l4b,0.28111112,0.22483264,-0.3221606,3.115335059845306e-21,8788,9002,1.0759160040426338e-20,False
Bbof1,0.09763105,0.056183714,-0.7960994,3.188198578092975e-21,8788,9002,1.1006284217273778e-20,True
Tspan12,0.67479444,0.8134112,0.26950026,3.2165828579688525e-21,8788,9002,1.1099717630882671e-20,False
Qprt,0.17447506,0.12945515,-0.4302811,3.601281939486677e-21,8788,9002,1.2422134053670117e-20,False
C030034I22Rik,0.095905006,0.062167127,-0.62463886,3.75541687941776e-21,8788,9002,1.2948492707599023e-20,True
Prdx2,0.13583481,0.09510686,-0.5137775,3.759878986960495e-21,8788,9002,1.2958566946865484e-20,True
Slc25a11,0.1571927,0.109901145,-0.5159332,3.768144623561113e-21,8788,9002,1.298173657576562e-20,True
