gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Psmg2,0.15941845,0.109499484,-0.54148227,0.11738254264933101,599,503,0.3797230253509388,False
Nfat5,0.96659714,1.0755264,0.15404116,0.11740700894122778,599,503,0.3797230253509388,False
Pcgf5,0.40240192,0.4767883,0.24465577,0.11748528305989757,599,503,0.37982563778477185,False
Abcg2,0.31556663,0.38118201,0.2724568,0.11754855691356106,599,503,0.3798796928374884,False
Fxyd1,0.48012456,0.4019644,-0.25628257,0.11774321699850189,599,503,0.38013974835180514,False
Ahi1,0.46382046,0.53400934,0.20325778,0.11774373081087823,599,503,0.38013974835180514,False
Cab39,0.28896844,0.33387214,0.20831668,0.11776878478350042,599,503,0.38013974835180514,False
Tsc22d4,0.26595438,0.311129,0.22625533,0.11792996245992787,599,503,0.3804804875165715,False
Ppp2r5e,0.50003946,0.5829763,0.2213542,0.1179676021344272,599,503,0.3804804875165715,False
Zfp112,0.09764655,0.06599824,-0.5644339,0.11834043426992467,599,503,0.3814212042995368,False
Aida,0.14101706,0.19261496,0.44957614,0.11835275604000334,599,503,0.3814212042995368,False
Gmps,0.24868341,0.19237868,-0.3701916,0.11841356286565818,599,503,0.38146651124507336,False
Parp12,0.23755422,0.18670794,-0.3473082,0.11865449046908505,599,503,0.3820918082982376,False
Col25a1,0.12311145,0.15987518,0.3767118,0.11875242728903357,599,503,0.38216638839394995,False
Srek1ip1,0.1033723,0.07018349,-0.5579868,0.11883460206279682,599,503,0.38216638839394995,False
Met,0.23993397,0.30468372,0.34454718,0.1188576846900222,599,503,0.38216638839394995,False
Rpl5,0.19679312,0.24023563,0.28763786,0.11890095957187208,599,503,0.38216638839394995,False
Pdgfrb,1.0422858,0.95998013,-0.1186626,0.11894651431792617,599,503,0.38216638839394995,False
Tor1aip1,0.4416616,0.5088735,0.20432262,0.11896255779057707,599,503,0.38216638839394995,False
Ppm1g,0.14601079,0.09272928,-0.65441096,0.11900548932708661,599,503,0.38216638839394995,False
Zfp1,0.12556614,0.16959463,0.43334487,0.1191309869121904,599,503,0.38233583521686537,False
Sod3,0.24797606,0.19112056,-0.37554488,0.11915196433290302,599,503,0.38233583521686537,False
Rbm17,0.1624525,0.20052141,0.3035698,0.1192201131531458,599,503,0.38240413652895827,False
2410002F23Rik,0.0866613,0.112160005,0.37172043,0.11940876974817187,599,503,0.38251195809019356,False
Mrps12,0.11759493,0.080411546,-0.5477845,0.11940892642606542,599,503,0.38251195809019356,False
Slc35e2,0.21348305,0.27509993,0.36568287,0.11942797604106235,599,503,0.38251195809019356,False
Arhgef5,0.16505678,0.11515764,-0.5189738,0.11944123397228103,599,503,0.38251195809019356,False
2900052L18Rik,0.22648914,0.28180742,0.31514266,0.11976998164237936,599,503,0.38341429980455694,False
Shroom3,0.5171562,0.59388983,0.19955927,0.11989434435270681,599,503,0.3836619019286618,False
Nat2,0.123846546,0.091309294,-0.4393053,0.12037467831115875,599,503,0.38504797139124086,False
Mrpl4,0.111281976,0.15247464,0.4539994,0.12062749354901835,599,503,0.38570546526645366,False
