gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Ebpl,0.10326855,0.09818212,-0.07279641,0.8521827930091724,50,32,1.0,False
Babam1,0.10935747,0.116476215,0.09090308,0.8521827930091724,50,32,1.0,False
Rnf8,0.106601216,0.11932716,0.16255437,0.8521827930091724,50,32,1.0,False
Car5a,0.12598687,0.14018744,0.15396774,0.8521827930091724,50,32,1.0,False
Lemd2,0.11485989,0.13655841,0.24944378,0.8521827930091724,50,32,1.0,False
Slc26a1,0.13213335,0.16297266,0.30242878,0.8521827930091724,50,32,1.0,False
Prcp,0.11115656,0.11771557,0.08263976,0.8521827930091724,50,32,1.0,False
Crls1,0.10987268,0.12702525,0.20910542,0.8521827930091724,50,32,1.0,False
Zfp512,0.13398808,0.14408854,0.104775496,0.8521827930091724,50,32,1.0,False
Dnai4,0.13418803,0.16326946,0.28280762,0.8521827930091724,50,32,1.0,False
Slc25a44,0.092853926,0.12707594,0.4522381,0.8521827930091724,50,32,1.0,False
Uba6,0.09242149,0.112133265,0.27864003,0.8521827930091724,50,32,1.0,False
Metap2,0.4643743,0.4054442,-0.19573966,0.8524507693472703,50,32,1.0,False
Tmf1,0.21058439,0.26002926,0.3041452,0.8527985549974648,50,32,1.0,False
Igtp,0.22758572,0.26195127,0.20280524,0.8527985549974648,50,32,1.0,False
Prrc2a,0.19923754,0.2392779,0.2640766,0.8527985549974648,50,32,1.0,False
Qrich1,0.22869013,0.2544989,0.15420128,0.8527985549974648,50,32,1.0,False
Ankle2,0.23003145,0.2558971,0.15366922,0.8527985549974648,50,32,1.0,False
Mpdu1,0.18808149,0.1188176,-0.66216254,0.8535195240528165,50,32,1.0,False
Mta2,0.1663726,0.102299094,-0.70108175,0.8535195240528165,50,32,1.0,False
Arhgef38,0.21768562,0.15975547,-0.4461406,0.8535195240528165,50,32,1.0,False
Parp1,0.18461747,0.1204119,-0.61614466,0.8535195240528165,50,32,1.0,False
Cyyr1,0.18948787,0.14114541,-0.42466274,0.8535195240528165,50,32,1.0,False
Trps1,0.19950491,0.16390194,-0.2834343,0.8535195240528165,50,32,1.0,False
Vdac1,0.20360376,0.13448599,-0.59794444,0.8535195240528165,50,32,1.0,False
Dpagt1,0.157519,0.10454872,-0.5908867,0.8535195240528165,50,32,1.0,False
Sorl1,0.18075126,0.12106421,-0.57784015,0.8535195240528165,50,32,1.0,False
Gnpda1,0.19856392,0.18479237,-0.10364422,0.8535873458297442,50,32,1.0,False
Tmprss2,0.2524622,0.23212689,-0.12110369,0.8535873458297442,50,32,1.0,False
Wdr36,0.18286175,0.16966489,-0.10800396,0.8535873458297442,50,32,1.0,False
Lemd3,0.20262545,0.19493271,-0.055811092,0.8535873458297442,50,32,1.0,False
Gng12,0.5760975,0.62787795,0.12415051,0.8538316701524703,50,32,1.0,False
Luc7l,0.36543792,0.29118156,-0.3276067,0.8542171814873731,50,32,1.0,False
Slc40a1,0.77314097,0.7423254,-0.05867195,0.8545528195643246,50,32,1.0,False
Resf1,0.50149405,0.52705395,0.07170408,0.8545671070201771,50,32,1.0,False
Gdi1,0.3383744,0.4032703,0.25305817,0.854860514532855,50,32,1.0,False
Ap1ar,0.2818737,0.2931021,0.05633474,0.8561682807923622,50,32,1.0,False
Zcchc8,0.35837922,0.39538187,0.14172205,0.8562660396336985,50,32,1.0,False
Wdr7,0.29576498,0.3590575,0.2796776,0.8562660396336985,50,32,1.0,False
Irak2,0.29344445,0.33024627,0.17040005,0.8562660396336985,50,32,1.0,False
Samhd1,0.32311517,0.3682853,0.18872058,0.8562660396336985,50,32,1.0,False
Hivep1,0.37852257,0.4164233,0.13763675,0.8562660396336985,50,32,1.0,False
Tpm3,0.494309,0.51163363,0.04968805,0.8565298502806581,50,32,1.0,False
Ankrd11,0.775366,0.7272239,-0.09246565,0.8565773797578183,50,32,1.0,False
