gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Tm9sf2,0.39238203,0.3255933,-0.26911262,0.010905405004089541,1503,1879,0.0508083111653237,False
Gm12185,0.36919,0.30578998,-0.2717414,0.010913261857871016,1503,1879,0.0508083111653237,False
Arl15,0.97373027,1.0598228,0.122216925,0.01092188064544843,1503,1879,0.0508083111653237,False
Galc,0.31387085,0.25485188,-0.30040562,0.010923773398407456,1503,1879,0.0508083111653237,False
Nrf1,0.41788226,0.48279828,0.20827752,0.010930629754352867,1503,1879,0.0508083111653237,False
Ninj1,0.118493885,0.086338125,-0.45628998,0.010935478108682051,1503,1879,0.0508083111653237,False
Rgs10,0.10404214,0.068967566,-0.5924737,0.01098583556515983,1503,1879,0.05101215026891808,False
Senp8,0.1063102,0.07973189,-0.41459948,0.011077756724284842,1503,1879,0.05140863386030947,False
Zbtb44,0.23410845,0.28874007,0.30247772,0.011264095189829657,1503,1879,0.05223226721049154,False
Tcaim,0.28606236,0.22920904,-0.31954068,0.011268517347597781,1503,1879,0.05223226721049154,False
Gatad2b,0.49625188,0.56685424,0.19186918,0.011317976934945531,1503,1879,0.052430628133263574,False
Ablim3,0.23997732,0.29138514,0.27992323,0.011340088115270156,1503,1879,0.052502138384176014,False
Slc22a30,1.7727602,1.6469605,-0.10618523,0.011378443865889938,1503,1879,0.05264872908770015,False
Slc25a51,0.32981735,0.39091936,0.24513544,0.011438534458310116,1503,1879,0.052895656701391756,False
A930005H10Rik,0.16161028,0.124640726,-0.37447876,0.01144632417740971,1503,1879,0.052900579306407035,False
Slc25a33,0.14880627,0.18470916,0.31163177,0.011486872887347165,1503,1879,0.0530416071796124,False
Usp14,0.24180296,0.28754854,0.24987862,0.011490325277658217,1503,1879,0.0530416071796124,False
Tap2,0.17319511,0.21857418,0.335552,0.011501461979464996,1503,1879,0.05306187679206549,False
Clec7a,0.1533212,0.10924332,-0.4886328,0.011583542721161213,1503,1879,0.05338470008237404,False
Crkl,0.13103749,0.17338245,0.40370953,0.01159105141968569,1503,1879,0.05338470008237404,False
Fabp7,0.082559645,0.12340598,0.57932585,0.011591796051448621,1503,1879,0.05338470008237404,False
Coro7,0.7960684,0.713668,-0.15761839,0.011623633194010743,1503,1879,0.05349999924171357,False
Evl,0.87474626,0.78070366,-0.1640697,0.01183771030108166,1503,1879,0.05445346738497563,False
Rhobtb2,0.1293042,0.098865956,-0.3868802,0.011866346942633482,1503,1879,0.05455329342533897,False
2210016F16Rik,0.10337357,0.06969788,-0.5680072,0.011879738933144311,1503,1879,0.054582959373897864,False
Gfod2,0.0936314,0.06427882,-0.5419464,0.011890891505212756,1503,1879,0.054593517574074525,False
Cnot6l,0.40713674,0.46304396,0.18559292,0.011895917762771897,1503,1879,0.054593517574074525,False
Arl5a,0.49319875,0.42609757,-0.21093924,0.011974130471185647,1503,1879,0.05492041416113487,False
P2rx4,0.60307187,0.5217602,-0.20890568,0.012008973779237743,1503,1879,0.055048128057974405,False
Paox,0.19943613,0.15491755,-0.36421835,0.012060113998109995,1503,1879,0.05525035335418359,False
Ube2w,0.37152356,0.4342029,0.2248596,0.012075387930394355,1503,1879,0.055288126577696155,False
Usf3,0.22997946,0.27906,0.27895996,0.012104701111630875,1503,1879,0.05539009828044704,False
Cep350,1.0246674,0.93779814,-0.12779333,0.01211942524609248,1503,1879,0.05542523196846712,False
Ylpm1,0.2980742,0.3474624,0.22111653,0.012140113061872284,1503,1879,0.05548758241992295,False
Eea1,0.3740219,0.43000627,0.20118481,0.012157412003586695,1503,1879,0.0555343802672549,False
Fasn,0.21411721,0.16138585,-0.40766662,0.01219811532631177,1503,1879,0.055687971652216124,False
